"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","320030075","1","5.8","ppb","5","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/02/2023","AQS","320030075","1","18.2","ppb","17","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/03/2023","AQS","320030075","1","26","ppb","25","Joe Neal","23","96.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/04/2023","AQS","320030075","1","21.4","ppb","20","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/05/2023","AQS","320030075","1","16.2","ppb","15","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/06/2023","AQS","320030075","1","25.5","ppb","24","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/07/2023","AQS","320030075","1","30.1","ppb","28","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/08/2023","AQS","320030075","1","25.8","ppb","24","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/09/2023","AQS","320030075","1","26.4","ppb","25","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/10/2023","AQS","320030075","1","12.3","ppb","11","Joe Neal","23","96.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/11/2023","AQS","320030075","1","33.5","ppb","31","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/12/2023","AQS","320030075","1","36.4","ppb","34","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/13/2023","AQS","320030075","1","31.7","ppb","29","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/14/2023","AQS","320030075","1","25.7","ppb","24","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/15/2023","AQS","320030075","1","6.2","ppb","6","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/16/2023","AQS","320030075","1","10.7","ppb","9","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/17/2023","AQS","320030075","1","4","ppb","4","Joe Neal","23","96.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/18/2023","AQS","320030075","1","30.5","ppb","28","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/19/2023","AQS","320030075","1","29.8","ppb","27","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/20/2023","AQS","320030075","1","3","ppb","3","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/21/2023","AQS","320030075","1","32.6","ppb","30","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/22/2023","AQS","320030075","1","19.5","ppb","18","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/23/2023","AQS","320030075","1","3","ppb","3","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/24/2023","AQS","320030075","1","3","ppb","3","Joe Neal","23","96.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/25/2023","AQS","320030075","1","5.8","ppb","5","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/26/2023","AQS","320030075","1","29.6","ppb","27","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/27/2023","AQS","320030075","1","35.9","ppb","33","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/28/2023","AQS","320030075","1","31.5","ppb","29","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/29/2023","AQS","320030075","1","24.8","ppb","23","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/30/2023","AQS","320030075","1","4.9","ppb","4","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"01/31/2023","AQS","320030075","1","7.8","ppb","7","Joe Neal","23","96.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"02/01/2023","AQS","320030075","1","34.1","ppb","32","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"02/02/2023","AQS","320030075","1","37.4","ppb","35","Joe Neal","24","100.0000","42602","Nitrogen dioxide (NO2)","212","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
