"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","320030540","1","0.6","ppb","0","Jerome Mack-NCore","22","92.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/02/2023","AQS","320030540","1","0.5","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/03/2023","AQS","320030540","1","0.9","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/04/2023","AQS","320030540","1","1.8","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/05/2023","AQS","320030540","1","1.2","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/06/2023","AQS","320030540","1","1.5","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/07/2023","AQS","320030540","1","2.3","ppb","3","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/08/2023","AQS","320030540","1","2.1","ppb","3","Jerome Mack-NCore","22","92.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/09/2023","AQS","320030540","1","1.9","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/10/2023","AQS","320030540","1","1.3","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/11/2023","AQS","320030540","1","1.7","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/12/2023","AQS","320030540","1","3","ppb","4","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/13/2023","AQS","320030540","1","3.3","ppb","4","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/14/2023","AQS","320030540","1","2.4","ppb","3","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/15/2023","AQS","320030540","1","0.6","ppb","0","Jerome Mack-NCore","22","92.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/16/2023","AQS","320030540","1","0.7","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/17/2023","AQS","320030540","1","0.6","ppb","0","Jerome Mack-NCore","19","79.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/18/2023","AQS","320030540","1","0.8","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/19/2023","AQS","320030540","1","2.3","ppb","3","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/20/2023","AQS","320030540","1","0","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/21/2023","AQS","320030540","1","1.9","ppb","1","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/22/2023","AQS","320030540","1","1.7","ppb","1","Jerome Mack-NCore","22","92.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
"01/23/2023","AQS","320030540","1","0","ppb","0","Jerome Mack-NCore","24","100.0000","42401","Sulfur dioxide","600","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.141875","-115.078742"
